#Plane_1v2
#Card       tzero  t_zero_err      entries
0    -6.21765     1.95569             3951
1    -13.74384     1.37057             45180
2    -11.00004     0.47800             194496
3    -22.63623     0.96490             154219
4    -3.44620     0.62806             18297
5    -16.73282     2.13366             2307
