#Plane_2u2
#Card       tzero  t_zero_err      entries
0    -11.74828     1.70186             7628
1    -8.87523     0.62527             52437
2    -8.57489     0.36499             179240
3    -16.95263     0.71761             165018
4    3.85082     0.79588             27871
5    -6.45487     1.08302             3449
