#Plane_1x2
#Card       tzero  t_zero_err      entries
0    -14.74501     1.87992             6733
1    -11.37993     0.66253             88333
2    -13.83928     0.78204             90299
3    -12.00590     0.59627             83170
4    -3.71528     0.26813             75393
5    -5.16973     0.33989             59213
6    -4.79370     0.59876             18641
