#Plane_1v1
#Card       tzero  t_zero_err      entries
0    -17.13958     2.68984             3613
1    -11.07412     0.84589             40897
2    -2.46959     0.11388             183696
3    -0.75100     0.14665             166626
4    -3.97803     0.47076             27611
5    -31.12086     5.12324             2460
