#Plane_2x1
#Card       tzero  t_zero_err      entries
0    -10.45630     0.77443             22680
1    -9.18558     0.58477             85805
2    -9.67491     0.66238             84669
3    -0.34728     0.26418             77990
4    -1.77169     0.25206             72516
5    -1.13897     0.35555             60796
6    3.88054     0.84014             27254
