#Plane_2u1
#Card       tzero  t_zero_err      entries
0    -11.05240     1.60340             7292
1    -7.48545     0.45098             47340
2    0.41717     0.23025             170570
3    0.91129     0.20738             175411
4    -2.33187     0.33318             31390
5    -5.25765     0.74291             3683
