#Plane_1x1
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             38
1    3.54940     0.91940             21981
2    3.49597     1.18859             22583
3    -2.71633     0.51612             8426
4    -4.25906     0.59242             19258
5    -4.21660     0.53623             12981
6    0.50000     0.00000             1779
