#Plane_2u2
#Card       tzero  t_zero_err      entries
0    0.50000     0.00000             1012
1    -0.52809     0.67211             10440
2    0.35888     0.49989             37023
3    -7.88320     0.74435             35667
4    10.63660     8.90633             3593
5    40.50000     0.00000             106
