#Plane_1v2
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             473
1    -5.59910     1.09972             9127
2    -1.81951     0.27004             41870
3    -13.99848     1.47834             33065
4    5.61121     6.99285             2024
5    30.50000     0.00000             63
