#Plane_1x2
#Card       tzero  t_zero_err      entries
0    90.50000     0.00000             54
1    -2.95004     0.46487             22863
2    -5.79646     0.70158             21892
3    -5.16794     0.70088             8865
4    4.98033     1.36471             19210
5    5.11162     1.55495             12591
6    6.50000     0.00000             1618
